"Mean","SD","NBeads"
3173,590,19
858,328,28
1333,340,15
1837,316,7
409,199,8
5143,785,14
12808,864,14
1130,407,14
2022,502,15
647,221,9
832,475,5
3098,454,18
3588,538,15
701,270,12
1499,403,16
19102,1126,15
1276,316,13
11082,1094,7
276,225,19
474,176,5
1938,480,20
431,239,18
9703,1026,8
364,192,14
7575,784,14
2319,436,19
745,308,10
187,129,10
11198,1298,14
1039,444,14
2322,618,17
1176,399,13
1525,352,9
13782,1611,9
1181,354,10
1310,348,10
7883,2287,14
12199,1111,17
2582,575,13
1146,314,10
590,413,20
276,151,11
1232,449,9
562,294,17
247,136,19
152,156,11
43,14,6
6424,836,12
1729,488,12
2468,560,8
10719,1332,25
346,64,6
5147,923,16
9543,992,20
648,274,7
4308,1028,10
851,245,15
4395,249,7
394,254,14
8306,1493,12
13250,1714,17
365,265,11
3564,811,7
671,280,11
2568,430,11
10330,1494,16
10735,1269,7
13690,1355,21
10351,1163,16
5672,874,9
1923,329,7
4042,465,15
7895,534,5
2409,653,13
1959,568,10
8530,877,10
1244,549,13
15219,1581,14
14874,1131,18
9813,1473,11
483,172,8
3090,707,12
133,100,12
1905,351,19
820,269,16
406,222,17
9246,1095,9
2590,562,14
4920,206,6
5817,1021,11
2077,224,9
282,190,9
999,307,12
8710,1058,11
11696,1176,9
5056,616,20
4070,514,11
6,0,1
7346,620,16
9359,1256,17
3700,658,15
1264,332,10
1608,527,12
1255,394,20
504,288,16
1464,452,17
635,324,14
9310,1711,18
305,163,6
447,245,16
3499,568,11
171,131,12
814,361,9
632,174,7
223,131,9
5780,707,14
11244,505,13
336,223,13
5798,673,21
2010,387,8
13605,1428,11
1570,305,11
6184,807,21
342,235,19
6299,902,19
1042,350,11
1044,322,7
12788,1517,11
2540,580,14
13396,1452,12
1605,447,16
15793,1920,14
232,183,11
184,123,10
269,167,10
1415,300,5
9098,593,9
13663,1085,12
13476,783,5
254,142,12
1615,633,7
1612,302,11
630,252,6
331,209,13
4765,897,13
16128,1518,13
1056,364,11
5215,876,16
2197,602,13
17783,1044,14
8447,479,10
3382,860,11
1324,419,11
259,152,12
13977,1038,18
222,162,11
13735,1075,12
10239,1407,13
842,357,17
371,293,12
8710,1063,13
3851,660,8
3144,528,6
1021,338,16
962,452,16
1106,643,5
5292,626,11
6548,820,14
6382,686,10
4349,1201,16
763,395,15
9736,1134,19
6359,875,7
587,332,13
376,193,7
5407,715,8
8771,836,16
3940,717,16
727,375,11
2765,285,12
1701,358,13
416,188,15
1971,605,21
3446,792,14
1655,434,14
1537,361,10
3688,674,11
15640,2072,15
2950,652,15
7765,887,15
5921,916,13
1440,464,10
2579,710,18
12025,1453,12
6000,644,11
12698,1319,11
3169,243,7
3605,233,6
7554,901,8
12230,1078,13
321,167,12
851,393,9
286,231,15
455,287,8
7424,1083,10
4779,1303,10
3018,361,13
2608,693,12
200,105,9
2320,457,20
4203,735,12
2965,612,14
388,249,10
9672,258,4
384,353,10
156,129,9
11933,630,13
10253,1115,13
7108,918,12
8909,705,11
11658,988,8
5464,858,15
5379,514,14
360,248,11
1924,576,22
5995,1106,14
408,286,11
5331,891,15
454,287,12
15496,1095,14
284,154,7
2977,294,9
3267,501,10
407,183,6
4109,803,12
242,142,9
1830,516,19
743,346,15
378,251,12
17523,2077,14
2106,452,12
260,143,13
7924,979,12
457,318,13
385,270,17
980,319,9
10475,1217,16
3848,614,16
1198,423,20
6571,763,14
658,149,4
1875,390,11
10000,1331,18
10196,730,12
2700,544,11
1045,278,8
979,648,12
393,225,12
788,275,15
154,121,9
130,115,8
2461,681,6
2956,763,18
2041,340,11
11995,944,9
213,190,7
9123,672,8
699,291,16
8261,961,20
2061,434,14
541,264,9
3401,706,20
887,472,21
1234,441,16
17018,2769,7
173,103,6
4045,641,15
4241,775,16
15952,2458,10
189,145,14
2321,499,13
2436,261,10
11372,1678,21
5602,1021,14
17537,1183,14
613,313,9
13263,911,10
671,233,11
872,253,14
1332,696,13
314,175,10
4127,840,13
9182,1363,12
9890,927,16
12149,1523,14
504,285,18
10856,1095,12
402,181,14
2038,516,12
10696,852,12
223,135,17
6366,966,14
5041,965,18
547,256,10
10035,1315,16
2419,423,9
450,296,16
258,143,10
162,90,5
1100,264,6
3352,470,10
340,292,13
198,126,8
4507,824,13
1245,467,13
1069,279,11
900,340,10
751,452,12
7094,522,15
1873,550,17
8739,1177,18
1448,398,16
1816,585,23
1723,321,9
6069,714,9
386,97,7
143,94,16
119,73,11
617,231,9
1374,293,18
1533,325,6
4490,1043,10
900,340,14
96,100,6
314,270,11
938,425,13
1459,275,16
6798,1100,15
721,249,10
247,150,12
2367,506,9
12296,1651,13
3899,840,7
1286,712,6
1389,335,13
8680,1283,18
866,404,13
1794,503,13
5380,763,13
3587,585,14
511,260,16
852,361,8
3640,791,11
15499,2284,16
516,280,18
7615,845,18
14736,1689,10
2001,484,14
11089,1127,12
5092,965,12
16084,1441,21
13231,1067,8
18485,1579,25
3020,788,21
11884,726,20
273,180,10
8839,1180,15
2385,749,14
6373,972,10
6299,173,4
10454,1027,6
9158,987,9
275,212,11
3143,1013,14
11141,1123,12
841,376,12
1982,426,21
1722,553,15
378,222,12
8481,994,11
1825,601,13
903,242,10
11627,1125,15
161,61,4
11549,1248,16
656,263,10
65,66,13
410,274,15
76,90,11
8098,841,11
13304,1406,15
2858,717,18
5154,1005,13
10692,907,13
7648,831,11
615,238,10
15745,870,17
8853,1117,17
16196,1377,15
2375,443,20
270,174,8
11147,1010,17
9643,1195,8
845,232,18
7912,699,7
566,254,12
709,365,15
