"Mean","SD","NBeads"
3352,563,16
1992,418,17
8393,692,7
8638,1541,12
982,409,10
10687,1522,13
536,284,11
741,517,6
8892,1061,11
5318,415,11
2593,443,10
780,229,14
6650,831,12
9787,890,19
738,248,12
330,126,10
8461,1016,14
792,226,12
10414,858,13
10902,1751,6
471,237,13
6886,848,8
14071,1180,10
834,307,10
10482,884,19
16865,1459,17
1245,263,7
1375,252,10
6928,1086,14
1007,311,14
1707,441,9
646,205,11
809,289,14
490,244,20
228,166,15
8532,1508,13
265,180,16
4781,763,10
453,201,27
13905,860,9
3682,578,26
8094,1245,12
535,304,19
525,203,13
250,196,9
462,316,19
2491,639,15
1808,444,11
8767,819,8
13162,923,20
5422,1212,10
1607,404,16
8009,969,19
10082,872,11
1586,468,13
2990,431,16
9318,1061,8
9717,974,11
464,242,14
11573,1391,20
7062,1318,13
7728,748,17
6047,473,8
936,351,19
13809,1855,19
10997,1038,13
10724,1224,16
13550,864,9
226,119,11
7830,1018,9
934,359,11
634,228,16
7483,1119,11
12503,1596,13
3203,501,12
1079,287,13
5141,643,15
12791,1033,11
3251,877,17
804,341,12
4816,851,10
4083,784,17
6112,896,9
8571,1182,9
4598,587,9
3690,784,5
7520,814,10
7417,929,14
6645,772,16
683,156,11
1127,427,11
11697,739,12
446,286,12
3260,747,16
672,274,12
2321,561,13
10922,820,12
9423,729,14
420,169,9
1110,356,14
5506,1099,11
1224,297,20
3102,462,11
8693,1453,8
3178,527,19
13189,1331,10
12412,2165,8
3179,223,4
8235,816,8
6560,384,9
750,371,14
5684,597,9
431,255,15
10641,2045,11
8069,360,7
11465,1182,15
543,341,7
2211,702,8
380,264,13
8773,1331,7
174,91,14
367,210,14
1251,437,12
1927,503,11
299,224,18
12877,1628,13
12078,1485,14
1420,270,18
3438,513,18
5075,815,13
6024,292,10
207,179,14
743,392,15
6969,860,15
803,289,14
188,158,17
11114,1652,16
511,236,20
5366,619,13
269,245,10
14017,1680,11
7878,647,18
1463,375,20
13440,1276,13
4027,585,14
5219,852,7
2032,401,13
10380,1074,9
2539,601,16
1722,495,15
2091,396,13
2163,567,9
13223,1005,8
1846,565,8
11016,1523,16
14453,893,7
4255,1174,10
12759,1197,13
10329,1212,10
9298,818,11
797,335,15
1069,350,19
1401,339,7
1000,282,15
1057,406,15
8273,557,10
330,158,12
6493,846,20
1516,267,14
576,285,12
7701,549,17
16175,1345,8
255,189,18
7894,833,12
13528,2043,14
284,196,13
14245,1498,11
15648,1281,11
10091,1139,17
351,215,11
12176,837,4
561,127,13
266,146,17
77,66,6
1252,336,22
13760,1640,13
8439,1093,12
1424,424,8
6353,652,13
599,346,17
714,123,20
7277,1136,14
12820,1405,12
4765,215,7
3971,930,13
8313,884,14
478,160,17
9186,715,14
378,224,12
16769,1296,17
1153,267,19
4161,399,12
1471,999,18
10905,1286,6
440,173,13
12368,934,14
226,147,18
7058,1066,12
13132,1141,18
12987,1408,15
911,365,16
8954,748,10
7533,162,9
11615,1217,15
1684,444,11
6402,672,16
8748,830,14
1277,329,10
11592,728,18
4675,413,13
1266,301,9
15548,2157,16
1147,445,12
2380,353,9
5278,627,9
3470,675,14
932,270,20
13625,1546,18
282,200,9
468,43,7
8640,723,10
677,321,8
14408,1152,12
404,194,15
458,247,8
462,241,16
2329,518,7
1017,333,11
1768,317,15
449,248,13
3437,576,15
10989,1117,22
542,243,16
9362,1629,12
1483,272,13
10881,1017,15
8733,971,12
12388,1379,18
615,211,10
7736,801,12
12754,881,10
4420,1128,5
14884,2048,13
674,178,10
10695,781,10
5896,706,17
343,255,18
931,289,10
1580,395,17
6219,992,11
6770,585,15
293,146,10
5208,749,13
1075,339,6
1994,426,15
237,197,11
377,91,12
9021,0,1
2336,440,12
4390,1036,12
7035,1007,16
6202,306,14
5074,591,11
1956,423,9
5857,726,9
1124,324,22
981,229,9
4374,547,10
3359,621,9
10105,683,8
5523,943,5
9619,817,12
11221,761,14
8077,887,8
676,346,10
9707,505,7
9332,1231,16
9107,1637,5
3798,166,14
7448,1266,16
3388,584,16
1811,428,7
5907,783,14
292,202,10
14671,2212,13
652,304,14
642,299,15
2100,476,19
5528,604,9
147,122,17
980,285,19
705,216,13
7600,969,15
661,213,19
1842,450,13
949,234,12
505,303,15
1853,421,11
504,221,19
14364,1908,28
297,151,15
833,163,7
616,189,8
8566,1132,14
498,231,14
1567,365,14
12168,1185,15
5517,863,9
2456,634,5
8276,763,18
8636,723,15
6051,729,12
8572,1271,16
1859,155,15
14905,1232,13
593,318,7
231,158,19
2839,189,5
11171,1217,20
14411,1214,18
482,353,8
5251,1122,14
677,258,14
319,196,19
7058,624,10
1878,418,10
9047,1364,14
7635,1052,14
1909,604,17
287,142,13
10390,753,9
1181,361,9
11166,1317,10
9150,801,10
11098,2013,14
717,278,17
8455,699,13
14974,953,10
10505,1042,20
834,302,11
376,166,9
401,256,17
4403,727,19
303,196,11
378,220,6
874,370,12
7654,1453,12
915,266,8
2012,491,25
9746,806,6
531,250,16
942,224,20
3098,268,7
12186,2122,10
3727,599,15
672,205,7
11364,1262,14
777,424,12
1861,430,17
5939,1185,11
11172,902,7
15729,952,11
333,208,11
1028,388,16
2564,287,7
1449,251,21
1090,211,16
10871,1554,9
4660,795,7
958,434,15
11825,464,5
2073,458,13
1084,355,10
6214,796,10
6152,551,13
2498,354,14
1709,247,18
9010,1156,11
11087,669,8
2339,717,12
182,91,12
500,250,19
9267,1012,16
11284,1262,17
3725,394,9
378,143,14
685,204,6
14081,1563,11
8634,909,9
4573,331,9
7833,819,12
10662,748,11
3015,132,9
639,323,20
978,337,11
27,0,1
740,358,16
790,200,17
538,146,15
13086,669,10
427,191,12
2675,600,20
321,187,16
364,206,17
5502,1052,14
510,274,18
7363,1248,6
4987,635,16
210,137,11
244,221,12
1721,356,9
7237,988,7
131,99,9
4129,774,14
571,228,13
13212,1761,13
6042,880,21
4079,604,8
6133,1044,11
11219,1426,11
15535,1353,21
5454,645,19
668,306,19
4267,604,11
7591,449,7
1966,479,11
545,353,14
3045,586,12
6814,528,16
1824,421,14
164,137,11
262,196,10
2310,502,10
9105,926,5
589,250,9
1166,261,12
2366,393,5
4861,872,12
3729,418,7
483,190,11
8737,987,6
1024,283,13
809,242,13
958,231,13
1506,299,11
3130,593,16
413,245,13
5546,743,14
707,83,10
4863,760,11
362,335,11
313,176,12
805,361,18
2410,514,11
1501,346,12
982,288,13
3706,778,17
365,200,12
455,220,13
231,123,8
13028,2117,6
2945,409,16
10470,1229,16
9175,732,5
587,290,11
523,431,14
13198,1391,10
3232,556,16
10009,918,15
484,210,19
5971,666,7
303,140,13
184,70,7
1431,318,8
6116,925,16
7695,1119,16
3481,656,11
15537,1774,12
8222,784,13
6667,812,15
675,318,21
4990,674,14
253,220,14
9779,384,10
630,125,11
998,463,15
11830,810,15
552,229,15
6176,498,13
8589,1186,10
369,198,18
5831,572,12
13048,1341,11
478,166,11
3250,685,7
491,62,6
11466,829,8
876,473,13
6299,783,12
14880,1662,9
975,248,15
3377,641,8
13637,1032,10
9271,1744,10
13050,1288,13
13719,1068,12
233,157,9
372,162,20
6620,1139,12
168,105,14
143,78,10
9106,609,4
2115,376,10
941,165,9
1062,306,13
736,208,13
718,283,12
1232,182,11
1100,91,8
15783,1445,15
631,320,14
671,303,11
4669,782,22
336,217,14
594,212,11
5913,706,15
5907,836,12
606,184,14
258,80,7
12551,998,9
11948,1081,10
307,216,6
11669,1005,12
850,243,9
345,215,19
352,252,15
1468,372,12
2225,381,14
284,160,12
2897,437,13
1747,600,12
2388,751,13
833,412,17
8079,589,9
2580,452,16
10662,589,16
3215,622,20
218,189,14
70,43,4
14278,2033,11
481,279,18
740,281,12
9925,834,11
13477,908,8
5674,1106,12
2923,728,12
10924,994,15
4640,551,9
127,88,8
10423,385,6
10415,1109,18
8458,674,11
6585,826,9
145,121,7
639,251,8
9010,1295,16
786,269,20
576,253,14
448,310,9
11867,1475,20
254,169,21
10615,1128,16
2132,404,7
397,243,6
653,263,15
537,314,16
1445,499,10
266,112,14
7182,758,13
3273,868,10
713,294,21
655,276,14
2527,585,14
359,134,9
4811,768,10
16529,2402,11
3770,396,14
8324,931,13
765,196,10
404,281,13
11814,1282,12
7858,639,16
724,357,14
6682,832,18
1058,125,12
203,157,14
15053,1590,12
695,341,12
216,157,17
378,204,14
713,270,18
260,122,10
1208,356,16
10393,798,9
4691,662,16
153,104,10
269,167,5
3606,568,6
3578,569,10
5182,877,13
122,73,8
915,304,13
181,79,13
342,172,11
9443,1438,10
11808,852,12
649,226,15
3790,735,17
3697,426,18
